alpha	total_observations	power	effect_size	difference	metric	column
0.01	380	0.014305786186511238	0.02170102400523686		cohens_f	appendix_removed
0.05	380	0.06358219948253774	0.02170102400523686		cohens_f	appendix_removed
0.1	380	0.12060448372040977	0.02170102400523686		cohens_f	appendix_removed
0.01	420	0.014790760838329864	0.02170102400523686		cohens_f	appendix_removed
0.05	420	0.06505584188462632	0.02170102400523686		cohens_f	appendix_removed
0.1	420	0.12280019555640087	0.02170102400523686		cohens_f	appendix_removed
0.01	460	0.015282234369135894	0.02170102400523686		cohens_f	appendix_removed
0.05	460	0.06653552092902737	0.02170102400523686		cohens_f	appendix_removed
0.1	460	0.12499821034092662	0.02170102400523686		cohens_f	appendix_removed
0.01	500	0.015778989477146843	0.02170102400523686		cohens_f	appendix_removed
0.05	500	0.06802118946252345	0.02170102400523686		cohens_f	appendix_removed
0.1	500	0.12719846119521994	0.02170102400523686		cohens_f	appendix_removed
0.01	540	0.016281022209771012	0.02170102400523686		cohens_f	appendix_removed
0.05	540	0.06951100012214173	0.02170102400523686		cohens_f	appendix_removed
0.1	540	0.12940088158473806	0.02170102400523686		cohens_f	appendix_removed
0.01	580	0.016788328627090232	0.02170102400523686		cohens_f	appendix_removed
0.05	580	0.07100793882268963	0.02170102400523686		cohens_f	appendix_removed
0.1	580	0.1316054054947724	0.02170102400523686		cohens_f	appendix_removed
0.01	620	0.01730090481073665	0.02170102400523686		cohens_f	appendix_removed
0.05	620	0.07251060775987295	0.02170102400523686		cohens_f	appendix_removed
0.1	620	0.13381056407292413	0.02170102400523686		cohens_f	appendix_removed
0.01	660	0.01781874687322127	0.02170102400523686		cohens_f	appendix_removed
0.05	660	0.0740189476387706	0.02170102400523686		cohens_f	appendix_removed
0.1	660	0.13601871987010672	0.02170102400523686		cohens_f	appendix_removed
0.01	700	0.018341850967285356	0.02170102400523686		cohens_f	appendix_removed
0.05	700	0.07553289933017038	0.02170102400523686		cohens_f	appendix_removed
0.1	700	0.13822871514242063	0.02170102400523686		cohens_f	appendix_removed
0.01	740	0.018870213294864158	0.02170102400523686		cohens_f	appendix_removed
0.05	740	0.07705240389352652	0.02170102400523686		cohens_f	appendix_removed
0.1	740	0.14044047916608582	0.02170102400523686		cohens_f	appendix_removed
0.01	780	0.019403830115721332	0.02170102400523686		cohens_f	appendix_removed
0.05	780	0.07857740259409007	0.02170102400523686		cohens_f	appendix_removed
0.1	780	0.14265394170506007	0.02170102400523686		cohens_f	appendix_removed
0.01	820	0.019942697755463867	0.02170102400523686		cohens_f	appendix_removed
0.05	820	0.08010783691532675	0.02170102400523686		cohens_f	appendix_removed
0.1	820	0.14486903302587584	0.02170102400523686		cohens_f	appendix_removed
0.01	860	0.020486812613180083	0.02170102400523686		cohens_f	appendix_removed
0.05	860	0.0816436485692188	0.02170102400523686		cohens_f	appendix_removed
0.1	860	0.1470856839089758	0.02170102400523686		cohens_f	appendix_removed
0.01	900	0.021036171168391182	0.02170102400523686		cohens_f	appendix_removed
0.05	900	0.0831847795038334	0.02170102400523686		cohens_f	appendix_removed
0.1	900	0.1493038256556699	0.02170102400523686		cohens_f	appendix_removed
0.01	940	0.021590769987423153	0.02170102400523686		cohens_f	appendix_removed
0.05	940	0.08473117190947621	0.02170102400523686		cohens_f	appendix_removed
0.1	940	0.15152339009282212	0.02170102400523686		cohens_f	appendix_removed
0.01	980	0.02215060572944183	0.02170102400523686		cohens_f	appendix_removed
0.05	980	0.08628276822448233	0.02170102400523686		cohens_f	appendix_removed
0.1	980	0.1537443095771882	0.02170102400523686		cohens_f	appendix_removed
0.01	1020	0.022715675151613546	0.02170102400523686		cohens_f	appendix_removed
0.05	1020	0.08783951113884181	0.02170102400523686		cohens_f	appendix_removed
0.1	1020	0.1559665169962604	0.02170102400523686		cohens_f	appendix_removed
0.01	1060	0.023285975114063717	0.02170102400523686		cohens_f	appendix_removed
0.05	1060	0.08940134359856367	0.02170102400523686		cohens_f	appendix_removed
0.1	1060	0.15818994577047663	0.02170102400523686		cohens_f	appendix_removed
0.01	1100	0.023861502584170635	0.02170102400523686		cohens_f	appendix_removed
0.05	1100	0.09096820880873324	0.02170102400523686		cohens_f	appendix_removed
0.1	1100	0.16041452985359583	0.02170102400523686		cohens_f	appendix_removed
0.01	1140	0.024442254640267613	0.02170102400523686		cohens_f	appendix_removed
0.05	1140	0.09254005023594924	0.02170102400523686		cohens_f	appendix_removed
0.1	1140	0.16264020373212107	0.02170102400523686		cohens_f	appendix_removed
0.01	1180	0.025028228475004632	0.02170102400523686		cohens_f	appendix_removed
0.05	1180	0.09411681161081431	0.02170102400523686		cohens_f	appendix_removed
0.1	1180	0.1648669024249596	0.02170102400523686		cohens_f	appendix_removed
0.01	1220	0.025615526665070054	0.02170102400523686		cohens_f	appendix_removed
0.05	1220	0.09569843693053393	0.02170102400523686		cohens_f	appendix_removed
0.1	1220	0.16709456148366797	0.02170102400523686		cohens_f	appendix_removed
